Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,2017-12-29,40.652,16.387,860882.4869,5.8939,86.2981,20.377,68.354
AAPL,2018-01-31,40.22,16.378,851725.7861,5.8313,87.3045,22.7255,72.152
AAPL,2018-02-28,42.962,31.562,903783.1956,6.2289,87.3045,22.7255,70.886
AAPL,2018-03-30,40.468,24.448,851317.9011,6.3067,87.3045,22.7255,72.152
AAPL,2018-04-30,39.861,29.65,838531.3884,6.212,96.0293,22.6082,74.074
AAPL,2018-05-31,45.247,25.115,918491.8381,7.0514,96.0293,22.6082,75.61
AAPL,2018-06-29,44.821,12.387,909841.1952,7.5533,96.0293,22.6082,75.309
AAPL,2018-07-31,46.075,14.857,921558.6759,7.7647,99.6964,21.6258,75.309
AAPL,2018-08-31,55.309,21.656,1099436.055,9.3209,99.6964,21.6258,77.778
AAPL,2018-09-28,54.85,20.065,1090307.495,9.7366,99.6964,21.6258,76.829
AAPL,2018-10-31,53.178,30.96,1057077.604,9.4398,106.8467,22.4563,76.829
AAPL,2018-11-30,43.542,42.643,847433.1748,7.7293,106.8467,22.4563,76.19
AAPL,2018-12-31,38.461,43.169,748539.0805,6.1722,97.3179,23.6805,76.19
AAPL,2019-01-31,40.582,52.186,784811.2032,6.5126,97.3179,23.6805,75.61
AAPL,2019-02-28,42.4,26.972,816450.732,6.8042,97.3179,23.6805,76.744
AAPL,2019-03-29,46.513,19.827,895667.436,8.0975,97.3179,23.6805,77.66
AAPL,2019-04-30,49.138,18.816,946215.2376,8.5545,106.3952,19.9276,77.083
AAPL,2019-05-31,43.035,30.885,805510.2002,7.4919,106.3952,19.9276,77.32
AAPL,2019-06-28,48.652,25.097,910644.764,9.1424,106.3952,19.9276,77.451
AAPL,2019-07-31,52.368,17.825,962766.1072,9.8408,112.4015,18.666,77.67
AAPL,2019-08-30,51.506,33.646,943333.6332,9.6788,112.4015,18.666,78.302
AAPL,2019-09-30,55.264,24.962,1012160.745,10.8546,119.4048,21.371,80.374
AAPL,2019-10-31,61.381,20.951,1105306.601,12.056,119.4048,21.371,80.556
AAPL,2019-11-29,66.142,17.457,1187462.571,12.991,119.4048,21.371,78.07
AAPL,2019-12-31,72.675,16.835,1304764.767,14.2377,130.4029,24.2172,76.786
AAPL,2020-01-31,76.601,25.412,1354254.815,15.0067,130.4029,24.2172,76.786
AAPL,2020-02-28,67.814,37.761,1196081.213,13.2854,130.4029,24.2172,76.522
AAPL,2020-03-31,63.083,94.62,1112640.809,13.9125,151.4326,19.2907,76.522
AAPL,2020-04-30,72.885,58.749,1285516.024,16.0742,151.4326,19.2907,76.522
AAPL,2020-05-29,79.087,26.326,1378058.47,17.442,151.4326,19.2907,77.311
AAPL,2020-06-30,90.743,28.865,1581165.408,21.5124,169.0407,18.854,77.119
AAPL,2020-07-31,105.728,40.497,1817315.475,25.0648,169.0407,18.854,77.5
AAPL,2020-08-31,128.626,43.304,2206911.245,30.493,169.0407,18.854,75.806
AAPL,2020-09-30,115.438,52.414,1980644.694,29.9938,187.144,19.5879,75.969
