Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,ESG_rank
ABC,30/09/2019,80.18,29.65,17151.4385,5.7584,150.1203,47.2441
ABC,31/10/2019,83.1503,27.307,17786.8313,5.9718,150.1203,50
ABC,29/11/2019,86.0137,26.009,18102.6194,6.1774,150.1203,45.8015
ABC,31/12/2019,83.186,21.79,17507.5043,5.7936,153.3574,45.3846
ABC,31/01/2020,83.7144,24.741,17616.0985,5.8304,153.3574,45.3846
ABC,28/02/2020,82.8645,36.122,17360.7927,5.7712,153.3574,45.4545
ABC,31/03/2020,86.9724,95.03,18221.4202,4.9256,126.0731,44.3609
ABC,30/04/2020,88.1123,70.605,18460.2547,4.9902,126.0731,42.8571
ABC,29/05/2020,94.1649,38.869,19392.4201,5.333,126.0731,56.6176
ABC,30/06/2020,99.528,32.084,20496.8971,5.2628,117.4875,56.1151
ABC,31/07/2020,98.9552,23.536,20378.9235,5.2325,117.4875,56.4286
ABC,31/08/2020,96.2275,22.254,19807.8784,5.0883,117.4875,82.1429
ABC,30/09/2020,96.1184,23.313,19785.4228,5.0426,117.4875,81.8182
ABC,30/10/2020,95.2755,19.995,19611.9022,5.0426,117.4875,81.1189
ABC,30/11/2020,102.6831,30.026,21060.1914,5.0426,117.4875,81.7568
ABC,31/12/2020,97.3552,19.854,19967.4553,5.0426,117.4875,82
ABC,29/01/2021,103.7686,34.456,21320.908,5.0426,117.4875,81.2081
ABC,26/02/2021,101.22,30.599,20720.3565,5.0426,117.4875,81.2081
ABT,28/02/2014,34.5959,19.41,61383.337,2.1278,25.9667,71.2644
ABT,31/03/2014,33.4914,12.801,59423.6377,2.2221,33.058,72.4138
ABT,30/04/2014,33.8916,13.358,59778.5439,2.2486,33.058,74.7126
ABT,30/05/2014,35.0026,10.937,60092.5633,2.3223,33.058,70.7865
ABT,30/06/2014,35.7812,10.253,61429.2887,2.3552,31.0707,74.6269
ABT,31/07/2014,37.0462,14.676,63261.6538,2.4385,31.0707,74.6269
ABT,29/08/2014,37.1517,12.007,63516.2447,2.4454,31.0707,74.6269
ABT,30/09/2014,36.58,11.883,62538.8404,2.4066,36.1023,73.5294
ABT,31/10/2014,38.5428,22.257,65546.2383,2.5357,36.1023,73.5294
ABT,28/11/2014,39.3563,15.931,67022.7364,2.5892,36.1023,73.5294
ABT,31/12/2014,39.8072,19.028,67790.6895,2.7888,36.1847,72.0588
